id,address_state,application_type,emp_length,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,annual_income (Label),dti,installment,int_rate,loan_amount,total_acc,total_payment,new_loan_status
754872,FL,INDIVIDUAL,2 years,C,OWN,5/11/2021,11/11/2021,6/11/2021,Charged Off,7/11/2021,954627,Debt consolidation,C5, 36 months,Not Verified,57068,50K–99K,0.1749,55.65,0.1523,1600,13,126,Default
798434,NY,INDIVIDUAL,3 years,E,RENT,7/11/2021,4/16/2021,8/11/2021,Charged Off,9/11/2021,1003556,other,E3, 60 months,Source Verified,35000,<50K,0.0727,129.13,0.1879,5000,14,128,Default
820425,NC,INDIVIDUAL,3 years,D,MORTGAGE,7/11/2021,5/16/2021,11/11/2021,Charged Off,12/11/2021,1028646,Debt consolidation,D4, 36 months,Verified,21120,<50K,0.2358,57.85,0.1689,1625,15,131,Default
748144,NJ,INDIVIDUAL,5 years,D,OWN,5/11/2021,12/11/2021,7/11/2021,Charged Off,8/11/2021,947164,home improvement,D2, 36 months,Not Verified,25200,<50K,0.1948,42.19,0.1599,1200,9,136,Default
597984,IL,INDIVIDUAL,2 years,E,RENT,10/10/2021,5/16/2021,3/11/2021,Charged Off,4/11/2021,767538,credit card,E3, 36 months,Not Verified,14400,<50K,0.1567,35.5,0.1669,1000,8,141,Default
1010303,NJ,INDIVIDUAL,1 year,B,RENT,11/11/2021,5/16/2021,2/12/2021,Charged Off,3/12/2021,1237107,wedding,B3, 36 months,Not Verified,21600,<50K,0.0222,49.62,0.1171,1500,11,148,Default
1037231,WI,INDIVIDUAL,5 years,C,MORTGAGE,11/11/2021,5/16/2021,4/12/2021,Charged Off,5/12/2021,1267125,vacation,C3, 36 months,Not Verified,36000,<50K,0.122,37.95,0.1465,1100,42,151,Default
852879,OR,INDIVIDUAL,1 year,E,RENT,8/11/2021,5/16/2021,1/12/2021,Charged Off,2/12/2021,1065011,Debt consolidation,E1, 36 months,Verified,24000,<50K,0.1265,36.15,0.1799,1000,9,159,Default
521396,MO,INDIVIDUAL,7 years,D,RENT,5/10/2021,3/11/2021,10/10/2021,Charged Off,11/10/2021,674234,educational,D4, 60 months,Not Verified,6000,<50K,0.192,24.16,0.157,1000,17,162,Default
351801,IL,INDIVIDUAL,10+ years,C,RENT,7/8/2021,5/16/2021,8/8/2021,Charged Off,9/8/2021,354618,home improvement,C1, 36 months,Verified,83004,50K–99K,0.1353,164.36,0.1128,5000,29,164,Default
628812,NY,INDIVIDUAL,1 year,D,MORTGAGE,12/10/2021,5/16/2021,2/11/2021,Charged Off,3/11/2021,805684,car,D5, 60 months,Source Verified,55000,50K–99K,0.2439,178.27,0.1557,7400,48,178,Default
443770,NV,INDIVIDUAL,7 years,B,MORTGAGE,9/9/2021,5/16/2021,12/9/2021,Charged Off,1/9/2022,540308,Debt consolidation,B4, 36 months,Not Verified,95000,50K–99K,0.1696,93.24,0.1218,2800,60,186,Default
548325,GA,INDIVIDUAL,2 years,D,RENT,7/10/2021,12/10/2021,1/11/2021,Charged Off,2/11/2021,706932,major purchase,D2, 60 months,Source Verified,58900,50K–99K,0.1227,38.25,0.1521,1600,31,190,Default
488647,FL,INDIVIDUAL,2 years,B,RENT,2/10/2021,9/10/2021,4/10/2021,Charged Off,5/10/2021,623266,Debt consolidation,B3, 36 months,Not Verified,32000,<50K,0.1399,195.36,0.1062,6000,14,195,Default
869471,CA,INDIVIDUAL,4 years,B,RENT,9/11/2021,5/16/2021,10/11/2021,Charged Off,11/11/2021,1083301,vacation,B3, 36 months,Not Verified,30000,<50K,0.1264,196.41,0.1099,6000,27,196,Default
462277,PA,INDIVIDUAL,2 years,B,RENT,11/9/2021,5/16/2021,1/10/2021,Charged Off,2/10/2021,578196,Debt consolidation,B4, 36 months,Not Verified,24000,<50K,0.0965,199.8,0.1218,6000,19,199,Default
575569,OR,INDIVIDUAL,10+ years,B,RENT,9/10/2021,5/16/2021,2/11/2021,Charged Off,3/11/2021,740305,Debt consolidation,B1, 60 months,Verified,45000,<50K,0.0389,130.22,0.1038,6075,33,199,Default
469683,CA,INDIVIDUAL,< 1 year,B,RENT,12/9/2021,9/10/2021,4/10/2021,Charged Off,5/10/2021,592579,other,B2, 36 months,Not Verified,18000,<50K,0.0707,49.46,0.1148,1500,4,211,Default
759675,CA,INDIVIDUAL,10+ years,F,MORTGAGE,5/11/2021,5/16/2021,7/11/2021,Charged Off,8/11/2021,959931,home improvement,F5, 60 months,Verified,70000,50K–99K,0.0831,219.78,0.2174,8000,26,219,Default
761924,MA,INDIVIDUAL,10+ years,B,RENT,5/11/2021,3/12/2021,11/11/2021,Charged Off,12/11/2021,962411,vacation,B5, 36 months,Not Verified,35000,<50K,0.0439,33.21,0.1199,1000,4,221,Default
589439,NJ,INDIVIDUAL,4 years,C,RENT,10/10/2021,5/16/2021,12/10/2021,Charged Off,1/10/2022,757217,Debt consolidation,C4, 36 months,Verified,10200,<50K,0.1482,111.64,0.1435,3250,9,222,Default
870037,KY,INDIVIDUAL,1 year,A,MORTGAGE,9/11/2021,5/16/2021,2/12/2021,Charged Off,3/12/2021,1083973,medical,A1, 36 months,Source Verified,60000,50K–99K,0.0526,45.24,0.0542,1500,24,225,Default
457207,NJ,INDIVIDUAL,< 1 year,A,RENT,11/9/2021,10/10/2021,6/10/2021,Charged Off,7/10/2021,568217,medical,A4, 36 months,Not Verified,75000,50K–99K,0.0242,31.62,0.0859,1000,4,229,Default
786376,NV,INDIVIDUAL,10+ years,B,MORTGAGE,6/11/2021,5/16/2021,8/11/2021,Charged Off,9/11/2021,989760,small business,B4, 36 months,Not Verified,69600,50K–99K,0.0809,230.8,0.1149,7000,24,230,Default
522644,CA,INDIVIDUAL,4 years,E,MORTGAGE,5/10/2021,5/16/2021,9/10/2021,Charged Off,10/10/2021,676032,other,E3, 60 months,Source Verified,30000,<50K,0.1216,79.86,0.1719,3200,19,239,Default
1004114,CA,INDIVIDUAL,6 years,B,RENT,10/11/2021,5/16/2021,12/11/2021,Charged Off,1/11/2022,1230744,Debt consolidation,B5, 36 months,Source Verified,30000,<50K,0.1952,241.53,0.1269,7200,22,241,Default
1057403,CA,INDIVIDUAL,8 years,B,RENT,12/11/2021,5/16/2021,6/12/2021,Charged Off,7/12/2021,1288960,vacation,B5, 36 months,Not Verified,34000,<50K,0.1341,40.26,0.1269,1200,30,241,Default
713841,PA,INDIVIDUAL,1 year,B,RENT,3/11/2021,11/11/2021,6/11/2021,Charged Off,7/11/2021,907151,small business,B3, 36 months,Not Verified,42000,<50K,0.0334,97.33,0.1037,3000,5,245,Default
405894,CA,INDIVIDUAL,6 years,C,MORTGAGE,5/9/2021,12/9/2021,7/9/2021,Charged Off,8/9/2021,454133,Debt consolidation,C3, 36 months,Not Verified,47000,<50K,0.11,108.07,0.1316,3200,12,248,Default
350044,WA,INDIVIDUAL,10+ years,C,RENT,6/8/2021,5/16/2021,7/8/2021,Charged Off,8/8/2021,351968,Debt consolidation,C4, 36 months,Not Verified,68844,50K–99K,0.2163,249,0.1197,7500,36,249,Default
865503,NC,INDIVIDUAL,< 1 year,C,RENT,8/11/2021,5/16/2021,2/12/2021,Charged Off,3/12/2021,1078817,vacation,C1, 36 months,Source Verified,14400,<50K,0.1175,50.54,0.1299,1500,4,252,Default
532044,WA,INDIVIDUAL,1 year,C,RENT,6/10/2021,5/16/2021,10/10/2021,Charged Off,11/10/2021,687771,other,C3, 36 months,Not Verified,52180,50K–99K,0.1177,85.42,0.1398,2500,25,255,Default
1059461,CA,INDIVIDUAL,< 1 year,E,MORTGAGE,12/11/2021,5/16/2021,1/12/2021,Charged Off,2/12/2021,1291081,Debt consolidation,E3, 60 months,Source Verified,60000,50K–99K,0.0912,258.46,0.1942,15700,35,258,Default
1058110,PA,INDIVIDUAL,8 years,B,RENT,12/11/2021,5/16/2021,6/12/2021,Charged Off,7/12/2021,1289687,Debt consolidation,B1, 36 months,Verified,26004,<50K,0.1495,70.9,0.0991,2200,7,261,Default
1000643,FL,INDIVIDUAL,10+ years,B,MORTGAGE,11/11/2021,5/16/2021,12/11/2021,Charged Off,1/11/2022,1225894,Debt consolidation,B5, 60 months,Source Verified,63500,50K–99K,0.1765,271.14,0.1269,12000,25,270,Default
537018,LA,INDIVIDUAL,2 years,B,MORTGAGE,6/10/2021,7/11/2021,2/11/2021,Charged Off,3/11/2021,693702,home improvement,B3, 60 months,Source Verified,30240,<50K,0.2238,30.53,0.1112,1400,16,271,Default
411755,OR,INDIVIDUAL,2 years,C,RENT,6/9/2021,2/10/2021,8/9/2021,Charged Off,9/9/2021,462967,house,C2, 36 months,Not Verified,29000,<50K,0.1717,84.05,0.1284,2500,11,275,Default
590232,CA,INDIVIDUAL,< 1 year,D,RENT,10/10/2021,5/16/2021,11/10/2021,Charged Off,12/10/2021,758192,credit card,D1, 36 months,Source Verified,70000,50K–99K,0.0427,276.7,0.1484,8000,17,276,Default
558003,NJ,INDIVIDUAL,2 years,D,RENT,8/10/2021,5/16/2021,12/10/2021,Charged Off,1/10/2022,718373,Debt consolidation,D3, 36 months,Source Verified,14400,<50K,0.0617,69.91,0.1558,2000,4,279,Default
1001241,NY,INDIVIDUAL,10+ years,C,RENT,11/11/2021,5/16/2021,12/11/2021,Charged Off,1/11/2022,1227225,medical,C2, 60 months,Verified,85000,50K–99K,0.2397,280.91,0.1427,12000,61,280,Default
428387,PA,INDIVIDUAL,< 1 year,C,OWN,7/9/2021,5/16/2021,10/9/2021,Charged Off,11/9/2021,506847,car,C2, 36 months,Not Verified,27852,<50K,0.1021,141.2,0.1284,4200,28,282,Default
820530,CA,INDIVIDUAL,10+ years,D,RENT,7/11/2021,1/12/2021,9/11/2021,Charged Off,10/11/2021,1028762,other,D1, 36 months,Not Verified,80000,50K–99K,0.0966,125.9,0.1562,3600,25,284,Default
568659,MN,INDIVIDUAL,< 1 year,C,RENT,8/10/2021,6/11/2021,1/11/2021,Charged Off,2/11/2021,731544,wedding,C3, 36 months,Source Verified,38400,<50K,0.0828,54.67,0.1398,1600,5,284,Default
505903,SC,INDIVIDUAL,3 years,C,OWN,4/10/2021,2/11/2021,9/10/2021,Charged Off,10/10/2021,652165,other,C3, 36 months,Not Verified,48000,<50K,0.0063,50.89,0.1348,1500,4,285,Default
393171,TX,INDIVIDUAL,3 years,C,RENT,4/9/2021,12/9/2021,7/9/2021,Charged Off,8/9/2021,430654,Debt consolidation,C3, 36 months,Not Verified,25000,<50K,0.0955,67.55,0.1316,2000,6,286,Default
614849,OR,INDIVIDUAL,7 years,C,MORTGAGE,11/10/2021,6/11/2021,2/11/2021,Charged Off,3/11/2021,788431,medical,C1, 36 months,Verified,40000,<50K,0.1248,83.32,0.1223,2500,27,289,Default
447971,IL,INDIVIDUAL,< 1 year,A,RENT,10/9/2021,7/10/2021,2/10/2021,Charged Off,3/10/2021,549151,Debt consolidation,A5, 36 months,Not Verified,9600,<50K,0.2125,55.61,0.0894,1750,7,293,Default
364377,VA,INDIVIDUAL,< 1 year,D,RENT,11/8/2021,5/16/2021,1/9/2021,Charged Off,2/9/2021,374927,Debt consolidation,D4, 36 months,Verified,79000,50K–99K,0.1814,293.47,0.143,8550,32,293,Default
721515,KY,INDIVIDUAL,4 years,A,RENT,4/11/2021,1/12/2021,8/11/2021,Charged Off,9/11/2021,916142,house,A4, 36 months,Source Verified,19200,<50K,0.255,37.22,0.0729,1200,10,296,Default
467219,OH,INDIVIDUAL,2 years,C,OWN,12/9/2021,11/10/2021,6/10/2021,Charged Off,7/10/2021,587495,other,C3, 36 months,Not Verified,12360,<50K,0.2146,54.35,0.1357,1600,3,296,Default
585572,TX,INDIVIDUAL,4 years,E,MORTGAGE,9/10/2021,6/11/2021,1/11/2021,Charged Off,2/11/2021,752350,Debt consolidation,E4, 60 months,Source Verified,54000,50K–99K,0.1111,62.89,0.1756,2500,12,298,Default
889794,TX,INDIVIDUAL,6 years,E,OWN,9/11/2021,4/12/2021,11/11/2021,Charged Off,12/11/2021,1106358,other,E3, 60 months,Source Verified,21456,<50K,0.0414,94.22,0.1942,3600,3,299,Default
882779,NC,INDIVIDUAL,4 years,A,MORTGAGE,9/11/2021,7/14/2021,7/12/2021,Charged Off,8/12/2021,1098029,Debt consolidation,A2, 36 months,Verified,30000,<50K,0.24,30.71,0.0662,1000,13,301,Default
606632,MI,INDIVIDUAL,10+ years,A,OWN,11/10/2021,5/16/2021,4/11/2021,Charged Off,5/11/2021,778224,other,A3, 36 months,Verified,51996,50K–99K,0.1706,61,0.0617,2000,45,305,Default
451412,TX,INDIVIDUAL,1 year,B,RENT,10/9/2021,9/10/2021,4/10/2021,Charged Off,5/10/2021,556109,educational,B2, 36 months,Not Verified,10800,<50K,0.0644,49.46,0.1148,1500,4,307,Default
1053251,NJ,INDIVIDUAL,10+ years,B,MORTGAGE,12/11/2021,5/16/2021,4/12/2021,Charged Off,5/12/2021,1284825,wedding,B1, 36 months,Source Verified,72000,50K–99K,0.1738,77.34,0.0991,2400,41,309,Default
771730,TX,INDIVIDUAL,2 years,C,RENT,6/11/2021,2/12/2021,9/11/2021,Charged Off,10/11/2021,973541,other,C3, 36 months,Source Verified,27600,<50K,0.0283,68.35,0.1399,2000,12,310,Default
725835,MO,INDIVIDUAL,4 years,E,MORTGAGE,4/11/2021,11/11/2021,6/11/2021,Charged Off,7/11/2021,921143,major purchase,E2, 60 months,Not Verified,64800,50K–99K,0.1042,111.29,0.1677,4500,16,311,Default
756472,CT,INDIVIDUAL,10+ years,B,RENT,5/11/2021,4/16/2021,2/12/2021,Charged Off,3/12/2021,956419,vacation,B4, 60 months,Not Verified,27000,<50K,0.1644,39.58,0.1149,1800,20,314,Default
848386,FL,INDIVIDUAL,5 years,B,MORTGAGE,8/11/2021,5/16/2021,11/11/2021,Charged Off,12/11/2021,1059988,car,B3, 60 months,Source Verified,45000,<50K,0.1624,108.69,0.1099,5000,18,325,Default
853474,GA,INDIVIDUAL,1 year,B,OWN,8/11/2021,5/16/2021,10/11/2021,Charged Off,11/11/2021,1065648,home improvement,B5, 36 months,Source Verified,27000,<50K,0.0978,159.41,0.1199,4800,13,325,Default
1013112,FL,INDIVIDUAL,< 1 year,B,RENT,11/11/2021,8/12/2021,3/12/2021,Charged Off,4/12/2021,1240284,Debt consolidation,B3, 36 months,Source Verified,21600,<50K,0.2156,66.16,0.1171,2000,15,327,Default
591643,NY,INDIVIDUAL,7 years,C,RENT,10/10/2021,5/16/2021,12/10/2021,Charged Off,1/10/2022,759907,Debt consolidation,C3, 36 months,Source Verified,38400,<50K,0.0775,164.01,0.1398,4800,17,327,Default
848303,CA,INDIVIDUAL,10+ years,B,RENT,8/11/2021,5/16/2021,12/11/2021,Charged Off,1/11/2022,1059893,other,B4, 36 months,Not Verified,66072,50K–99K,0.0768,82.43,0.1149,2500,9,329,Default
660734,FL,INDIVIDUAL,4 years,C,RENT,2/11/2021,2/16/2021,5/11/2021,Charged Off,6/11/2021,845052,Debt consolidation,C3, 36 months,Verified,68000,50K–99K,0.18,77.98,0.1343,2300,15,330,Default
596450,PA,INDIVIDUAL,3 years,D,RENT,10/10/2021,5/16/2021,3/11/2021,Charged Off,4/11/2021,765671,Debt consolidation,D5, 60 months,Not Verified,42000,<50K,0.242,48.98,0.1632,2000,26,330,Default
375517,CA,INDIVIDUAL,< 1 year,C,RENT,2/9/2021,10/9/2021,4/9/2021,Charged Off,5/9/2021,397821,moving,C2, 36 months,Source Verified,64992,50K–99K,0.0489,100.86,0.1284,3000,10,330,Default
794885,CO,INDIVIDUAL,< 1 year,B,RENT,7/11/2021,5/16/2021,2/12/2021,Charged Off,3/12/2021,999553,Debt consolidation,B2, 36 months,Not Verified,50000,50K–99K,0.2088,55.33,0.1059,1700,29,331,Default
356756,FL,INDIVIDUAL,1 year,C,RENT,9/8/2021,12/9/2021,7/9/2021,Charged Off,8/9/2021,359455,other,C1, 36 months,Not Verified,35000,<50K,0.1569,32.88,0.1128,1000,6,331,Default
822314,NC,INDIVIDUAL,2 years,C,MORTGAGE,7/11/2021,5/15/2021,9/11/2021,Charged Off,10/11/2021,1030742,Debt consolidation,C3, 60 months,Source Verified,36996,<50K,0.1129,116.32,0.1399,5000,5,338,Default
757039,CA,INDIVIDUAL,4 years,C,RENT,5/11/2021,8/12/2021,4/12/2021,Charged Off,5/12/2021,957027,vacation,C3, 36 months,Source Verified,60000,50K–99K,0.0258,34.18,0.1399,1000,11,341,Default
819005,SC,INDIVIDUAL,2 years,D,RENT,7/11/2021,5/16/2021,12/11/2021,Charged Off,1/11/2022,1027050,other,D5, 36 months,Verified,13440,<50K,0.0821,86.16,0.1749,2400,4,343,Default
756802,MI,INDIVIDUAL,10+ years,B,MORTGAGE,5/11/2021,5/16/2021,11/11/2021,Charged Off,12/11/2021,956770,Debt consolidation,B4, 36 months,Verified,55963,50K–99K,0.211,69.24,0.1149,2100,36,345,Default
520899,FL,INDIVIDUAL,10+ years,A,MORTGAGE,6/10/2021,5/16/2021,9/10/2021,Charged Off,10/10/2021,673462,house,A5, 60 months,Not Verified,57600,50K–99K,0.1217,116.26,0.0788,9000,34,347,Default
445282,VA,INDIVIDUAL,6 years,B,RENT,10/9/2021,9/10/2021,4/10/2021,Charged Off,5/10/2021,543690,other,B1, 36 months,Not Verified,17496,<50K,0.2037,49.21,0.1114,1500,11,353,Default
1023704,CA,INDIVIDUAL,6 years,D,RENT,11/11/2021,5/16/2021,2/12/2021,Charged Off,3/12/2021,1252790,Debt consolidation,D2, 36 months,Source Verified,50000,50K–99K,0.1303,177.7,0.1677,5000,15,355,Default
689115,NY,INDIVIDUAL,10+ years,B,RENT,3/11/2021,5/16/2021,10/11/2021,Charged Off,11/11/2021,879325,Debt consolidation,B2, 36 months,Verified,48000,<50K,0.1068,45.18,0.1,1400,17,355,Default
617683,NC,INDIVIDUAL,< 1 year,D,RENT,11/10/2021,5/16/2021,1/11/2021,Charged Off,2/11/2021,791878,Debt consolidation,D5, 60 months,Verified,45600,<50K,0.1397,356.54,0.1557,20000,23,356,Default
780910,TX,INDIVIDUAL,1 year,D,RENT,6/11/2021,2/12/2021,9/11/2021,Charged Off,10/11/2021,983723,Debt consolidation,D2, 36 months,Source Verified,30000,<50K,0.0548,85.8,0.1719,2400,43,358,Default
488388,FL,INDIVIDUAL,< 1 year,D,RENT,2/10/2021,5/16/2021,7/10/2021,Charged Off,8/10/2021,618184,other,D1, 36 months,Not Verified,10000,<50K,0.1344,86.17,0.1459,2500,11,359,Default
579482,CA,INDIVIDUAL,4 years,E,RENT,9/10/2021,5/16/2021,10/10/2021,Charged Off,11/10/2021,745017,Debt consolidation,E5, 36 months,Source Verified,60000,50K–99K,0.1624,361.18,0.1793,10000,20,360,Default
850595,CA,INDIVIDUAL,2 years,C,RENT,8/11/2021,5/16/2021,12/11/2021,Charged Off,1/11/2022,1062436,small business,C5, 36 months,Source Verified,65000,50K–99K,0.2287,173.9,0.1523,5000,31,360,Default
523926,GA,INDIVIDUAL,< 1 year,A,RENT,6/10/2021,5/11/2021,12/10/2021,Charged Off,1/10/2022,677910,moving,A5, 36 months,Not Verified,35000,<50K,0.1982,50.05,0.0788,1600,13,361,Default
820067,TX,INDIVIDUAL,3 years,D,RENT,8/11/2021,2/12/2021,9/11/2021,Charged Off,10/11/2021,1028256,Debt consolidation,D1, 36 months,Source Verified,58800,50K–99K,0.122,160.87,0.1562,4600,12,363,Default
599401,GA,INDIVIDUAL,10+ years,C,MORTGAGE,10/10/2021,5/16/2021,8/11/2021,Charged Off,9/11/2021,769331,other,C4, 36 months,Not Verified,54996,50K–99K,0.2448,41.22,0.1435,1200,25,369,Default
706556,CT,INDIVIDUAL,3 years,A,MORTGAGE,3/11/2021,4/16/2021,10/11/2021,Charged Off,11/11/2021,898778,home improvement,A4, 36 months,Source Verified,46800,<50K,0.2962,62.02,0.0729,2000,57,371,Default
641147,FL,INDIVIDUAL,4 years,D,RENT,1/11/2021,7/11/2021,2/11/2021,Charged Off,3/11/2021,820716,credit card,D2, 60 months,Verified,65000,50K–99K,0.1063,129.3,0.1446,5500,8,373,Default
827024,FL,INDIVIDUAL,6 years,D,RENT,7/11/2021,3/12/2021,10/11/2021,Charged Off,11/11/2021,1035945,Debt consolidation,D5, 60 months,Source Verified,22200,<50K,0.2395,99.84,0.1749,3975,5,375,Default
598147,CA,INDIVIDUAL,2 years,D,RENT,10/10/2021,5/11/2021,12/10/2021,Charged Off,1/10/2022,767723,moving,D1, 36 months,Verified,30000,<50K,0,166.02,0.1484,4800,9,377,Default
696328,FL,INDIVIDUAL,5 years,A,RENT,3/11/2021,3/12/2021,10/11/2021,Charged Off,11/11/2021,887484,Debt consolidation,A4, 36 months,Not Verified,30000,<50K,0.0176,46.52,0.0729,1500,12,381,Default
651235,MN,INDIVIDUAL,10+ years,B,MORTGAGE,1/11/2021,7/11/2021,3/11/2021,Charged Off,4/11/2021,833060,medical,B3, 36 months,Verified,38400,<50K,0.0078,162.21,0.1037,5000,13,381,Default
527207,CT,INDIVIDUAL,2 years,D,RENT,6/10/2021,7/14/2021,8/10/2021,Charged Off,9/10/2021,681962,other,D2, 60 months,Verified,40000,<50K,0.1032,133.85,0.1521,5600,5,383,Default
519880,MO,INDIVIDUAL,6 years,B,RENT,5/10/2021,5/16/2021,5/11/2021,Charged Off,6/11/2021,672065,major purchase,B2, 36 months,Not Verified,28000,<50K,0.2421,32.39,0.1025,1000,21,385,Default
720202,KS,INDIVIDUAL,< 1 year,B,RENT,4/11/2021,5/16/2021,7/11/2021,Charged Off,8/11/2021,914628,credit card,B5, 36 months,Source Verified,40000,<50K,0.1848,194.29,0.1111,5925,19,387,Default
770669,IL,INDIVIDUAL,5 years,A,RENT,6/11/2021,10/12/2021,5/12/2021,Charged Off,6/12/2021,972372,moving,A5, 36 months,Source Verified,9600,<50K,0.0975,31.57,0.0849,1000,3,388,Default
551223,VA,INDIVIDUAL,2 years,A,MORTGAGE,7/10/2021,5/16/2021,8/11/2021,Charged Off,9/11/2021,710391,major purchase,A4, 36 months,Source Verified,31200,<50K,0.1585,32.67,0.0751,1050,16,390,Default
515678,NJ,INDIVIDUAL,< 1 year,C,RENT,5/10/2021,11/10/2021,7/10/2021,Charged Off,8/10/2021,666563,moving,C5, 36 months,Source Verified,66000,50K–99K,0.01,171.43,0.1422,5000,3,391,Default
783326,VA,INDIVIDUAL,2 years,B,RENT,6/11/2021,1/12/2021,8/11/2021,Charged Off,9/11/2021,986429,wedding,B2, 36 months,Source Verified,58000,50K–99K,0.133,117.98,0.1059,3625,12,391,Default
653735,SC,INDIVIDUAL,4 years,B,RENT,1/11/2021,5/16/2021,6/11/2021,Charged Off,7/11/2021,836031,Debt consolidation,B5, 60 months,Source Verified,31200,<50K,0.2192,130.79,0.1111,6000,21,392,Default
467292,AZ,INDIVIDUAL,< 1 year,D,OWN,12/9/2021,7/10/2021,1/10/2021,Charged Off,2/10/2021,587628,other,D2, 36 months,Not Verified,14400,<50K,0.11,173.23,0.1496,5000,4,393,Default
499190,CA,INDIVIDUAL,< 1 year,B,RENT,4/10/2021,5/16/2021,7/10/2021,Charged Off,8/10/2021,640587,major purchase,B5, 36 months,Not Verified,22000,<50K,0.1053,131.65,0.1136,4000,7,394,Default
549497,CA,INDIVIDUAL,2 years,D,MORTGAGE,7/10/2021,5/16/2021,10/10/2021,Charged Off,11/10/2021,708351,Debt consolidation,D3, 36 months,Source Verified,24000,<50K,0.0995,122.33,0.1558,3500,11,395,Default
809321,TX,INDIVIDUAL,< 1 year,A,RENT,7/11/2021,7/12/2021,2/12/2021,Charged Off,3/12/2021,1016128,other,A5, 36 months,Verified,60000,50K–99K,0.1042,47.35,0.0849,1500,22,398,Default
474397,WI,INDIVIDUAL,< 1 year,C,RENT,1/10/2021,5/16/2021,2/10/2021,Charged Off,3/10/2021,600061,Debt consolidation,C1, 36 months,Not Verified,40000,<50K,0.1932,403.6,0.1287,12000,24,403,Default
461259,NY,INDIVIDUAL,3 years,A,RENT,11/9/2021,4/16/2021,8/10/2021,Charged Off,9/10/2021,576332,other,A5, 36 months,Not Verified,40000,<50K,0.096,47.66,0.0894,1500,12,411,Default
